idx_from,idx_to,path_incr,dijkstra_diff
0,4,0.0,0.45
0,2,0.0,0.32
0,3,0.0,0.32
1,4,0.0,0.27
2,4,0.0,0.27
3,4,0.0,0.27
1,2,0.0,0.21
1,3,0.0,0.21
2,3,0.0,0.21
3,2,0.0,0.21
4,2,0.0,0.21
4,3,0.0,0.21
0,1,0.0,0.1
1,0,0.0,0.1
2,0,0.0,0.1
2,1,0.0,0.1
3,0,0.0,0.1
3,1,0.0,0.1
4,0,0.0,0.1
4,1,0.0,0.1
